,timestamp,value
0,2022-08-01,58.2
1,2022-07-01,51.5
2,2022-06-01,50
3,2022-05-01,58.4
4,2022-04-01,65.2
5,2022-03-01,59.4
6,2022-02-01,62.8
7,2022-01-01,67.2
8,2021-12-01,70.6
9,2021-11-01,67.4
10,2021-10-01,71.7
11,2021-09-01,72.8
12,2021-08-01,70.3
13,2021-07-01,81.2
14,2021-06-01,85.5
15,2021-05-01,82.9
16,2021-04-01,88.3
17,2021-03-01,84.9
18,2021-02-01,76.8
19,2021-01-01,79
20,2020-12-01,80.7
21,2020-11-01,76.9
22,2020-10-01,81.8
23,2020-09-01,80.4
24,2020-08-01,74.1
25,2020-07-01,72.5
26,2020-06-01,78.1
27,2020-05-01,72.3
28,2020-04-01,71.8
29,2020-03-01,89.1
30,2020-02-01,101
31,2020-01-01,99.8
32,2019-12-01,99.3
33,2019-11-01,96.8
34,2019-10-01,95.5
35,2019-09-01,93.2
36,2019-08-01,89.8
37,2019-07-01,98.4
38,2019-06-01,98.2
39,2019-05-01,100
40,2019-04-01,97.2
41,2019-03-01,98.4
42,2019-02-01,93.8
43,2019-01-01,91.2
44,2018-12-01,98.3
45,2018-11-01,97.5
46,2018-10-01,98.6
47,2018-09-01,100.1
48,2018-08-01,96.2
49,2018-07-01,97.9
50,2018-06-01,98.2
51,2018-05-01,98
52,2018-04-01,98.8
53,2018-03-01,101.4
54,2018-02-01,99.7
55,2018-01-01,95.7
56,2017-12-01,95.9
57,2017-11-01,98.5
58,2017-10-01,100.7
59,2017-09-01,95.1
60,2017-08-01,96.8
61,2017-07-01,93.4
62,2017-06-01,95
63,2017-05-01,97.1
64,2017-04-01,97
65,2017-03-01,96.9
66,2017-02-01,96.3
67,2017-01-01,98.5
68,2016-12-01,98.2
69,2016-11-01,93.8
70,2016-10-01,87.2
71,2016-09-01,91.2
72,2016-08-01,89.8
73,2016-07-01,90
74,2016-06-01,93.5
75,2016-05-01,94.7
76,2016-04-01,89
77,2016-03-01,91
78,2016-02-01,91.7
79,2016-01-01,92
80,2015-12-01,92.6
81,2015-11-01,91.3
82,2015-10-01,90.0
83,2015-09-01,87.2
84,2015-08-01,91.9
85,2015-07-01,93.1
86,2015-06-01,96.1
87,2015-05-01,90.7
88,2015-04-01,95.9
89,2015-03-01,93.0
90,2015-02-01,95.4
91,2015-01-01,98.1
92,2014-12-01,93.6
93,2014-11-01,88.8
94,2014-10-01,86.9
95,2014-09-01,84.6
96,2014-08-01,82.5
97,2014-07-01,81.8
98,2014-06-01,82.5
99,2014-05-01,81.9
100,2014-04-01,84.1
101,2014-03-01,80.0
102,2014-02-01,81.6
103,2014-01-01,81.2
104,2013-12-01,82.5
105,2013-11-01,75.1
106,2013-10-01,73.2
107,2013-09-01,77.5
108,2013-08-01,82.1
109,2013-07-01,85.1
110,2013-06-01,84.1
111,2013-05-01,84.5
112,2013-04-01,76.4
113,2013-03-01,78.6
114,2013-02-01,77.6
115,2013-01-01,73.8
116,2012-12-01,72.9
117,2012-11-01,82.7
118,2012-10-01,82.6
119,2012-09-01,78.3
120,2012-08-01,74.3
121,2012-07-01,72.3
122,2012-06-01,73.2
123,2012-05-01,79.3
124,2012-04-01,76.4
125,2012-03-01,76.2
126,2012-02-01,75.3
127,2012-01-01,75.0
128,2011-12-01,69.9
129,2011-11-01,63.7
130,2011-10-01,60.8
131,2011-09-01,59.5
132,2011-08-01,55.8
133,2011-07-01,63.7
134,2011-06-01,71.5
135,2011-05-01,74.3
136,2011-04-01,69.8
137,2011-03-01,67.5
138,2011-02-01,77.5
139,2011-01-01,74.2
140,2010-12-01,74.5
141,2010-11-01,71.6
142,2010-10-01,67.7
143,2010-09-01,68.2
144,2010-08-01,68.9
145,2010-07-01,67.8
146,2010-06-01,76.0
147,2010-05-01,73.6
148,2010-04-01,72.2
149,2010-03-01,73.6
150,2010-02-01,73.6
151,2010-01-01,74.4
152,2009-12-01,72.5
153,2009-11-01,67.4
154,2009-10-01,70.6
155,2009-09-01,73.5
156,2009-08-01,65.7
157,2009-07-01,66.0
158,2009-06-01,70.8
159,2009-05-01,68.7
160,2009-04-01,65.1
161,2009-03-01,57.3
162,2009-02-01,56.3
163,2009-01-01,61.2
164,2008-12-01,60.1
165,2008-11-01,55.3
166,2008-10-01,57.6
167,2008-09-01,70.3
168,2008-08-01,63.0
169,2008-07-01,61.2
170,2008-06-01,56.4
171,2008-05-01,59.8
172,2008-04-01,62.6
173,2008-03-01,69.5
174,2008-02-01,70.8
175,2008-01-01,78.4
176,2007-12-01,75.5
177,2007-11-01,76.1
178,2007-10-01,80.9
179,2007-09-01,83.4
180,2007-08-01,83.4
181,2007-07-01,90.4
182,2007-06-01,85.3
183,2007-05-01,88.3
184,2007-04-01,87.1
185,2007-03-01,88.4
186,2007-02-01,91.3
187,2007-01-01,96.9
188,2006-12-01,91.7
189,2006-11-01,92.1
190,2006-10-01,93.6
191,2006-09-01,85.4
192,2006-08-01,82.0
193,2006-07-01,84.7
194,2006-06-01,84.9
195,2006-05-01,79.1
196,2006-04-01,87.4
197,2006-03-01,88.9
198,2006-02-01,86.7
199,2006-01-01,91.2
200,2005-12-01,91.5
201,2005-11-01,81.6
202,2005-10-01,74.2
203,2005-09-01,76.9
204,2005-08-01,89.1
205,2005-07-01,96.5
206,2005-06-01,96.0
207,2005-05-01,86.9
208,2005-04-01,87.7
209,2005-03-01,92.6
210,2005-02-01,94.1
211,2005-01-01,95.5
212,2004-12-01,97.1
213,2004-11-01,92.8
214,2004-10-01,91.7
215,2004-09-01,94.2
216,2004-08-01,95.9
217,2004-07-01,96.7
218,2004-06-01,95.6
219,2004-05-01,90.2
220,2004-04-01,94.2
221,2004-03-01,95.8
222,2004-02-01,94.4
223,2004-01-01,103.8
224,2003-12-01,92.6
225,2003-11-01,93.7
226,2003-10-01,89.6
227,2003-09-01,87.7
228,2003-08-01,89.3
229,2003-07-01,90.9
230,2003-06-01,89.7
231,2003-05-01,92.1
232,2003-04-01,86.0
233,2003-03-01,77.6
234,2003-02-01,79.9
235,2003-01-01,82.4
236,2002-12-01,86.7
237,2002-11-01,84.2
238,2002-10-01,80.6
239,2002-09-01,86.1
240,2002-08-01,87.6
241,2002-07-01,88.1
242,2002-06-01,92.4
243,2002-05-01,96.9
244,2002-04-01,93.0
245,2002-03-01,95.7
246,2002-02-01,90.7
247,2002-01-01,93.0
248,2001-12-01,88.8
249,2001-11-01,83.9
250,2001-10-01,82.7
251,2001-09-01,81.8
252,2001-08-01,91.5
253,2001-07-01,92.4
254,2001-06-01,92.6
255,2001-05-01,92.0
256,2001-04-01,88.4
257,2001-03-01,91.5
258,2001-02-01,90.6
259,2001-01-01,94.7
260,2000-12-01,98.4
261,2000-11-01,107.6
262,2000-10-01,105.8
263,2000-09-01,106.8
264,2000-08-01,107.3
265,2000-07-01,108.3
266,2000-06-01,106.4
267,2000-05-01,110.7
268,2000-04-01,109.2
269,2000-03-01,107.1
270,2000-02-01,111.3
271,2000-01-01,112.0
272,1999-12-01,105.4
273,1999-11-01,107.2
274,1999-10-01,103.2
275,1999-09-01,107.2
276,1999-08-01,104.5
277,1999-07-01,106.0
278,1999-06-01,107.3
279,1999-05-01,106.8
280,1999-04-01,104.6
281,1999-03-01,105.7
282,1999-02-01,108.1
283,1999-01-01,103.9
284,1998-12-01,100.5
285,1998-11-01,102.7
286,1998-10-01,97.4
287,1998-09-01,100.9
288,1998-08-01,104.4
289,1998-07-01,105.2
290,1998-06-01,105.6
291,1998-05-01,106.5
292,1998-04-01,108.7
293,1998-03-01,106.5
294,1998-02-01,110.4
295,1998-01-01,106.6
296,1997-12-01,102.1
297,1997-11-01,107.2
298,1997-10-01,105.6
299,1997-09-01,106.0
300,1997-08-01,104.4
301,1997-07-01,107.1
302,1997-06-01,104.5
303,1997-05-01,103.2
304,1997-04-01,101.4
305,1997-03-01,100.0
306,1997-02-01,99.7
307,1997-01-01,97.4
308,1996-12-01,96.9
309,1996-11-01,99.2
310,1996-10-01,96.5
311,1996-09-01,94.7
312,1996-08-01,95.3
313,1996-07-01,94.7
314,1996-06-01,92.4
315,1996-05-01,89.4
316,1996-04-01,92.7
317,1996-03-01,93.7
318,1996-02-01,88.5
319,1996-01-01,89.3
320,1995-12-01,91.0
321,1995-11-01,88.2
322,1995-10-01,90.2
323,1995-09-01,88.9
324,1995-08-01,96.2
325,1995-07-01,94.4
326,1995-06-01,92.7
327,1995-05-01,89.8
328,1995-04-01,92.5
329,1995-03-01,90.3
330,1995-02-01,95.1
331,1995-01-01,97.6
332,1994-12-01,95.1
333,1994-11-01,91.6
334,1994-10-01,92.7
335,1994-09-01,91.5
336,1994-08-01,91.7
337,1994-07-01,89.0
338,1994-06-01,91.2
339,1994-05-01,92.8
340,1994-04-01,92.6
341,1994-03-01,91.5
342,1994-02-01,93.2
343,1994-01-01,94.3
344,1993-12-01,88.2
345,1993-11-01,81.2
346,1993-10-01,82.7
347,1993-09-01,77.9
348,1993-08-01,77.3
349,1993-07-01,77.0
350,1993-06-01,81.5
351,1993-05-01,80.3
352,1993-04-01,85.6
353,1993-03-01,85.9
354,1993-02-01,86.6
355,1993-01-01,89.3
356,1992-12-01,91.0
357,1992-11-01,85.3
358,1992-10-01,73.3
359,1992-09-01,75.6
360,1992-08-01,76.1
361,1992-07-01,76.6
362,1992-06-01,80.4
363,1992-05-01,79.2
364,1992-04-01,77.2
365,1992-03-01,76.0
366,1992-02-01,68.8
367,1992-01-01,67.5
368,1991-12-01,68.2
369,1991-11-01,69.1
370,1991-10-01,78.3
371,1991-09-01,83.0
372,1991-08-01,82.0
373,1991-07-01,82.9
374,1991-06-01,82.1
375,1991-05-01,78.3
376,1991-04-01,81.8
377,1991-03-01,87.7
378,1991-02-01,70.4
379,1991-01-01,66.8
380,1990-12-01,65.5
381,1990-11-01,66.0
382,1990-10-01,63.9
383,1990-09-01,72.8
384,1990-08-01,76.4
385,1990-07-01,88.2
386,1990-06-01,88.3
387,1990-05-01,90.6
388,1990-04-01,93.9
389,1990-03-01,91.3
390,1990-02-01,89.5
391,1990-01-01,93.0
392,1989-12-01,90.5
393,1989-11-01,90.9
394,1989-10-01,93.9
395,1989-09-01,95.8
396,1989-08-01,89.6
397,1989-07-01,92.0
398,1989-06-01,90.6
399,1989-05-01,90.7
400,1989-04-01,91.5
401,1989-03-01,94.3
402,1989-02-01,95.4
403,1989-01-01,97.9
404,1988-12-01,91.9
405,1988-11-01,93.0
406,1988-10-01,94.1
407,1988-09-01,97.3
408,1988-08-01,97.4
