,timestamp,value
0,2022-08-01,2.33
1,2022-07-01,1.68
2,2022-06-01,1.21
3,2022-05-01,0.77
4,2022-04-01,0.33
5,2022-03-01,0.2
6,2022-02-01,0.08
7,2022-01-01,0.08
8,2021-12-01,0.08
9,2021-11-01,0.08
10,2021-10-01,0.08
11,2021-09-01,0.08
12,2021-08-01,0.09
13,2021-07-01,0.1
14,2021-06-01,0.08
15,2021-05-01,0.06
16,2021-04-01,0.07
17,2021-03-01,0.07
18,2021-02-01,0.08
19,2021-01-01,0.09
20,2020-12-01,0.09
21,2020-11-01,0.09
22,2020-10-01,0.09
23,2020-09-01,0.09
24,2020-08-01,0.1
25,2020-07-01,0.09
26,2020-06-01,0.08
27,2020-05-01,0.05
28,2020-04-01,0.05
29,2020-03-01,0.65
30,2020-02-01,1.58
31,2020-01-01,1.55
32,2019-12-01,1.55
33,2019-11-01,1.55
34,2019-10-01,1.83
35,2019-09-01,2.04
36,2019-08-01,2.13
37,2019-07-01,2.4
38,2019-06-01,2.38
39,2019-05-01,2.39
40,2019-04-01,2.42
41,2019-03-01,2.41
42,2019-02-01,2.4
43,2019-01-01,2.4
44,2018-12-01,2.27
45,2018-11-01,2.2
46,2018-10-01,2.19
47,2018-09-01,1.95
48,2018-08-01,1.91
49,2018-07-01,1.91
50,2018-06-01,1.82
51,2018-05-01,1.7
52,2018-04-01,1.69
53,2018-03-01,1.51
54,2018-02-01,1.42
55,2018-01-01,1.41
56,2017-12-01,1.3
57,2017-11-01,1.16
58,2017-10-01,1.15
59,2017-09-01,1.15
60,2017-08-01,1.16
61,2017-07-01,1.15
62,2017-06-01,1.04
63,2017-05-01,0.91
64,2017-04-01,0.9
65,2017-03-01,0.79
66,2017-02-01,0.66
67,2017-01-01,0.65
68,2016-12-01,0.54
69,2016-11-01,0.41
70,2016-10-01,0.4
71,2016-09-01,0.4
72,2016-08-01,0.4
73,2016-07-01,0.39
74,2016-06-01,0.38
75,2016-05-01,0.37
76,2016-04-01,0.37
77,2016-03-01,0.36
78,2016-02-01,0.38
79,2016-01-01,0.34
80,2015-12-01,0.24
81,2015-11-01,0.12
82,2015-10-01,0.12
83,2015-09-01,0.14
84,2015-08-01,0.14
85,2015-07-01,0.13
86,2015-06-01,0.13
87,2015-05-01,0.12
88,2015-04-01,0.12
89,2015-03-01,0.11
90,2015-02-01,0.11
91,2015-01-01,0.11
92,2014-12-01,0.12
93,2014-11-01,0.09
94,2014-10-01,0.09
95,2014-09-01,0.09
96,2014-08-01,0.09
97,2014-07-01,0.09
98,2014-06-01,0.1
99,2014-05-01,0.09
100,2014-04-01,0.09
101,2014-03-01,0.08
102,2014-02-01,0.07
103,2014-01-01,0.07
104,2013-12-01,0.09
105,2013-11-01,0.08
106,2013-10-01,0.09
107,2013-09-01,0.08
108,2013-08-01,0.08
109,2013-07-01,0.09
110,2013-06-01,0.09
111,2013-05-01,0.11
112,2013-04-01,0.15
113,2013-03-01,0.14
114,2013-02-01,0.15
115,2013-01-01,0.14
116,2012-12-01,0.16
117,2012-11-01,0.16
118,2012-10-01,0.16
119,2012-09-01,0.14
120,2012-08-01,0.13
121,2012-07-01,0.16
122,2012-06-01,0.16
123,2012-05-01,0.16
124,2012-04-01,0.14
125,2012-03-01,0.13
126,2012-02-01,0.1
127,2012-01-01,0.08
128,2011-12-01,0.07
129,2011-11-01,0.08
130,2011-10-01,0.07
131,2011-09-01,0.08
132,2011-08-01,0.1
133,2011-07-01,0.07
134,2011-06-01,0.09
135,2011-05-01,0.09
136,2011-04-01,0.1
137,2011-03-01,0.14
138,2011-02-01,0.16
139,2011-01-01,0.17
140,2010-12-01,0.18
141,2010-11-01,0.19
142,2010-10-01,0.19
143,2010-09-01,0.19
144,2010-08-01,0.19
145,2010-07-01,0.18
146,2010-06-01,0.18
147,2010-05-01,0.2
148,2010-04-01,0.2
149,2010-03-01,0.16
150,2010-02-01,0.13
151,2010-01-01,0.11
152,2009-12-01,0.12
153,2009-11-01,0.12
154,2009-10-01,0.12
155,2009-09-01,0.15
156,2009-08-01,0.16
157,2009-07-01,0.16
158,2009-06-01,0.21
159,2009-05-01,0.18
160,2009-04-01,0.15
161,2009-03-01,0.18
162,2009-02-01,0.22
163,2009-01-01,0.15
164,2008-12-01,0.16
165,2008-11-01,0.39
166,2008-10-01,0.97
167,2008-09-01,1.81
168,2008-08-01,2.0
169,2008-07-01,2.01
170,2008-06-01,2.0
171,2008-05-01,1.98
172,2008-04-01,2.28
173,2008-03-01,2.61
174,2008-02-01,2.98
175,2008-01-01,3.94
176,2007-12-01,4.24
177,2007-11-01,4.49
178,2007-10-01,4.76
179,2007-09-01,4.94
180,2007-08-01,5.02
181,2007-07-01,5.26
182,2007-06-01,5.25
183,2007-05-01,5.25
184,2007-04-01,5.25
185,2007-03-01,5.26
186,2007-02-01,5.26
187,2007-01-01,5.25
188,2006-12-01,5.24
189,2006-11-01,5.25
190,2006-10-01,5.25
191,2006-09-01,5.25
192,2006-08-01,5.25
