,timestamp,value
0,2022-08-01,3.25
1,2022-07-01,3.04
2,2022-06-01,3.0
3,2022-05-01,2.62
4,2022-04-01,2.54
5,2022-03-01,1.91
6,2022-02-01,1.44
7,2022-01-01,0.98
8,2021-12-01,0.68
9,2021-11-01,0.51
10,2021-10-01,0.39
11,2021-09-01,0.24
12,2021-08-01,0.22
13,2021-07-01,0.22
14,2021-06-01,0.2
15,2021-05-01,0.16
16,2021-04-01,0.16
17,2021-03-01,0.15
18,2021-02-01,0.12
19,2021-01-01,0.13
20,2020-12-01,0.14
21,2020-11-01,0.17
22,2020-10-01,0.15
23,2020-09-01,0.13
24,2020-08-01,0.14
25,2020-07-01,0.15
26,2020-06-01,0.19
27,2020-05-01,0.17
28,2020-04-01,0.22
29,2020-03-01,0.45
30,2020-02-01,1.33
31,2020-01-01,1.52
32,2019-12-01,1.61
33,2019-11-01,1.61
34,2019-10-01,1.55
35,2019-09-01,1.65
36,2019-08-01,1.57
37,2019-07-01,1.84
38,2019-06-01,1.81
39,2019-05-01,2.21
40,2019-04-01,2.34
41,2019-03-01,2.41
42,2019-02-01,2.5
43,2019-01-01,2.54
44,2018-12-01,2.68
45,2018-11-01,2.86
46,2018-10-01,2.86
47,2018-09-01,2.77
48,2018-08-01,2.64
49,2018-07-01,2.61
50,2018-06-01,2.53
51,2018-05-01,2.51
52,2018-04-01,2.38
53,2018-03-01,2.28
54,2018-02-01,2.18
55,2018-01-01,2.03
56,2017-12-01,1.84
57,2017-11-01,1.7
58,2017-10-01,1.55
59,2017-09-01,1.38
60,2017-08-01,1.34
61,2017-07-01,1.37
62,2017-06-01,1.34
63,2017-05-01,1.3
64,2017-04-01,1.24
65,2017-03-01,1.31
66,2017-02-01,1.2
67,2017-01-01,1.21
68,2016-12-01,1.2
69,2016-11-01,0.98
70,2016-10-01,0.84
71,2016-09-01,0.77
72,2016-08-01,0.74
73,2016-07-01,0.67
74,2016-06-01,0.73
75,2016-05-01,0.82
76,2016-04-01,0.77
77,2016-03-01,0.88
78,2016-02-01,0.73
79,2016-01-01,0.9
80,2015-12-01,0.98
81,2015-11-01,0.88
82,2015-10-01,0.64
83,2015-09-01,0.71
84,2015-08-01,0.7
85,2015-07-01,0.67
86,2015-06-01,0.69
87,2015-05-01,0.61
88,2015-04-01,0.54
89,2015-03-01,0.64
90,2015-02-01,0.62
91,2015-01-01,0.55
92,2014-12-01,0.64
93,2014-11-01,0.53
94,2014-10-01,0.45
95,2014-09-01,0.57
96,2014-08-01,0.47
97,2014-07-01,0.51
98,2014-06-01,0.45
99,2014-05-01,0.39
100,2014-04-01,0.42
101,2014-03-01,0.4
102,2014-02-01,0.33
103,2014-01-01,0.39
104,2013-12-01,0.34
105,2013-11-01,0.3
106,2013-10-01,0.34
107,2013-09-01,0.4
108,2013-08-01,0.36
109,2013-07-01,0.34
110,2013-06-01,0.33
111,2013-05-01,0.25
112,2013-04-01,0.23
113,2013-03-01,0.26
114,2013-02-01,0.27
115,2013-01-01,0.27
116,2012-12-01,0.26
117,2012-11-01,0.27
118,2012-10-01,0.28
119,2012-09-01,0.26
120,2012-08-01,0.27
121,2012-07-01,0.25
122,2012-06-01,0.29
123,2012-05-01,0.29
124,2012-04-01,0.29
125,2012-03-01,0.34
126,2012-02-01,0.28
127,2012-01-01,0.24
128,2011-12-01,0.26
129,2011-11-01,0.25
130,2011-10-01,0.28
131,2011-09-01,0.21
132,2011-08-01,0.23
133,2011-07-01,0.41
134,2011-06-01,0.41
135,2011-05-01,0.56
136,2011-04-01,0.73
137,2011-03-01,0.7
138,2011-02-01,0.77
139,2011-01-01,0.61
140,2010-12-01,0.62
141,2010-11-01,0.45
142,2010-10-01,0.38
143,2010-09-01,0.48
144,2010-08-01,0.52
145,2010-07-01,0.62
146,2010-06-01,0.72
147,2010-05-01,0.83
148,2010-04-01,1.06
149,2010-03-01,0.96
150,2010-02-01,0.86
151,2010-01-01,0.93
152,2009-12-01,0.87
153,2009-11-01,0.8
154,2009-10-01,0.95
155,2009-09-01,0.96
156,2009-08-01,1.12
157,2009-07-01,1.02
158,2009-06-01,1.18
159,2009-05-01,0.93
160,2009-04-01,0.93
161,2009-03-01,0.93
162,2009-02-01,0.98
163,2009-01-01,0.81
164,2008-12-01,0.82
165,2008-11-01,1.21
166,2008-10-01,1.61
167,2008-09-01,2.08
168,2008-08-01,2.42
169,2008-07-01,2.57
170,2008-06-01,2.77
171,2008-05-01,2.45
172,2008-04-01,2.05
173,2008-03-01,1.62
174,2008-02-01,1.97
175,2008-01-01,2.48
176,2007-12-01,3.12
177,2007-11-01,3.34
178,2007-10-01,3.97
179,2007-09-01,4.01
180,2007-08-01,4.31
181,2007-07-01,4.82
182,2007-06-01,4.98
183,2007-05-01,4.77
184,2007-04-01,4.67
185,2007-03-01,4.57
186,2007-02-01,4.85
187,2007-01-01,4.88
188,2006-12-01,4.67
189,2006-11-01,4.74
190,2006-10-01,4.8
191,2006-09-01,4.77
192,2006-08-01,4.9
193,2006-07-01,5.12
194,2006-06-01,5.12
195,2006-05-01,4.97
196,2006-04-01,4.89
197,2006-03-01,4.73
198,2006-02-01,4.67
199,2006-01-01,4.4
200,2005-12-01,4.4
201,2005-11-01,4.42
202,2005-10-01,4.27
203,2005-09-01,3.95
204,2005-08-01,4.04
205,2005-07-01,3.87
206,2005-06-01,3.64
207,2005-05-01,3.64
208,2005-04-01,3.65
209,2005-03-01,3.73
210,2005-02-01,3.38
211,2005-01-01,3.22
212,2004-12-01,3.01
213,2004-11-01,2.85
214,2004-10-01,2.58
215,2004-09-01,2.53
216,2004-08-01,2.51
217,2004-07-01,2.64
218,2004-06-01,2.76
219,2004-05-01,2.53
220,2004-04-01,2.07
221,2004-03-01,1.58
222,2004-02-01,1.74
223,2004-01-01,1.76
224,2003-12-01,1.91
225,2003-11-01,1.93
226,2003-10-01,1.75
227,2003-09-01,1.71
228,2003-08-01,1.86
229,2003-07-01,1.47
230,2003-06-01,1.23
231,2003-05-01,1.42
232,2003-04-01,1.62
233,2003-03-01,1.57
234,2003-02-01,1.63
235,2003-01-01,1.74
236,2002-12-01,1.84
237,2002-11-01,1.92
238,2002-10-01,1.91
239,2002-09-01,2.0
240,2002-08-01,2.13
241,2002-07-01,2.56
242,2002-06-01,2.99
243,2002-05-01,3.26
244,2002-04-01,3.42
245,2002-03-01,3.56
246,2002-02-01,3.02
247,2002-01-01,3.03
248,2001-12-01,3.11
249,2001-11-01,2.78
250,2001-10-01,2.73
251,2001-09-01,3.12
252,2001-08-01,3.76
253,2001-07-01,4.04
254,2001-06-01,4.08
255,2001-05-01,4.26
256,2001-04-01,4.23
257,2001-03-01,4.34
258,2001-02-01,4.66
259,2001-01-01,4.76
260,2000-12-01,5.35
261,2000-11-01,5.88
262,2000-10-01,5.91
263,2000-09-01,6.08
264,2000-08-01,6.23
265,2000-07-01,6.34
266,2000-06-01,6.48
267,2000-05-01,6.81
268,2000-04-01,6.4
269,2000-03-01,6.53
270,2000-02-01,6.61
271,2000-01-01,6.44
272,1999-12-01,6.1
273,1999-11-01,5.86
274,1999-10-01,5.86
275,1999-09-01,5.66
276,1999-08-01,5.68
277,1999-07-01,5.55
278,1999-06-01,5.62
279,1999-05-01,5.25
280,1999-04-01,4.98
281,1999-03-01,5.05
282,1999-02-01,4.88
283,1999-01-01,4.62
284,1998-12-01,4.51
285,1998-11-01,4.54
286,1998-10-01,4.09
287,1998-09-01,4.67
288,1998-08-01,5.27
289,1998-07-01,5.46
290,1998-06-01,5.52
291,1998-05-01,5.59
292,1998-04-01,5.56
293,1998-03-01,5.56
294,1998-02-01,5.42
295,1998-01-01,5.36
296,1997-12-01,5.72
297,1997-11-01,5.71
298,1997-10-01,5.77
299,1997-09-01,5.88
300,1997-08-01,5.94
301,1997-07-01,5.89
302,1997-06-01,6.09
303,1997-05-01,6.28
304,1997-04-01,6.45
305,1997-03-01,6.22
306,1997-02-01,5.9
307,1997-01-01,6.01
308,1996-12-01,5.78
309,1996-11-01,5.7
310,1996-10-01,5.91
311,1996-09-01,6.23
312,1996-08-01,6.03
313,1996-07-01,6.27
314,1996-06-01,6.3
315,1996-05-01,6.1
316,1996-04-01,5.96
317,1996-03-01,5.66
318,1996-02-01,5.03
319,1996-01-01,5.11
320,1995-12-01,5.32
321,1995-11-01,5.48
322,1995-10-01,5.7
323,1995-09-01,5.81
324,1995-08-01,5.98
325,1995-07-01,5.78
326,1995-06-01,5.72
327,1995-05-01,6.17
328,1995-04-01,6.57
329,1995-03-01,6.78
330,1995-02-01,7.11
331,1995-01-01,7.51
332,1994-12-01,7.59
333,1994-11-01,7.15
334,1994-10-01,6.73
335,1994-09-01,6.39
336,1994-08-01,6.18
337,1994-07-01,6.13
338,1994-06-01,5.93
339,1994-05-01,5.97
340,1994-04-01,5.55
341,1994-03-01,5.0
342,1994-02-01,4.47
343,1994-01-01,4.14
344,1993-12-01,4.21
345,1993-11-01,4.16
346,1993-10-01,3.87
347,1993-09-01,3.85
348,1993-08-01,4.0
349,1993-07-01,4.07
350,1993-06-01,4.16
351,1993-05-01,3.98
352,1993-04-01,3.84
353,1993-03-01,3.95
354,1993-02-01,4.1
355,1993-01-01,4.39
356,1992-12-01,4.67
357,1992-11-01,4.58
358,1992-10-01,4.08
359,1992-09-01,3.89
360,1992-08-01,4.19
361,1992-07-01,4.36
362,1992-06-01,5.05
363,1992-05-01,5.23
364,1992-04-01,5.34
365,1992-03-01,5.69
366,1992-02-01,5.21
367,1992-01-01,4.96
368,1991-12-01,5.03
369,1991-11-01,5.56
370,1991-10-01,5.91
371,1991-09-01,6.18
372,1991-08-01,6.43
373,1991-07-01,6.92
374,1991-06-01,6.96
375,1991-05-01,6.78
376,1991-04-01,6.95
377,1991-03-01,7.1
378,1991-02-01,6.87
379,1991-01-01,7.13
380,1990-12-01,7.31
381,1990-11-01,7.6
382,1990-10-01,7.88
383,1990-09-01,8.08
384,1990-08-01,8.06
385,1990-07-01,8.16
386,1990-06-01,8.35
387,1990-05-01,8.64
388,1990-04-01,8.72
389,1990-03-01,8.63
390,1990-02-01,8.37
391,1990-01-01,8.09
392,1989-12-01,7.78
393,1989-11-01,7.8
394,1989-10-01,7.98
395,1989-09-01,8.28
396,1989-08-01,8.14
397,1989-07-01,7.82
398,1989-06-01,8.41
399,1989-05-01,9.02
400,1989-04-01,9.45
401,1989-03-01,9.68
402,1989-02-01,9.37
403,1989-01-01,9.18
404,1988-12-01,9.09
405,1988-11-01,8.67
