,timestamp,value
0,2022-08-01,2.72
1,2022-07-01,2.3
2,2022-06-01,1.54
3,2022-05-01,0.99
4,2022-04-01,0.76
5,2022-03-01,0.45
6,2022-02-01,0.31
7,2022-01-01,0.15
8,2021-12-01,0.06
9,2021-11-01,0.05
10,2021-10-01,0.05
11,2021-09-01,0.04
12,2021-08-01,0.05
13,2021-07-01,0.05
14,2021-06-01,0.04
15,2021-05-01,0.02
16,2021-04-01,0.02
17,2021-03-01,0.03
18,2021-02-01,0.04
19,2021-01-01,0.08
20,2020-12-01,0.09
21,2020-11-01,0.09
22,2020-10-01,0.1
23,2020-09-01,0.11
24,2020-08-01,0.1
25,2020-07-01,0.13
26,2020-06-01,0.16
27,2020-05-01,0.13
28,2020-04-01,0.14
29,2020-03-01,0.3
30,2020-02-01,1.54
31,2020-01-01,1.55
32,2019-12-01,1.57
33,2019-11-01,1.57
34,2019-10-01,1.68
35,2019-09-01,1.93
36,2019-08-01,1.99
37,2019-07-01,2.15
38,2019-06-01,2.22
39,2019-05-01,2.4
40,2019-04-01,2.43
41,2019-03-01,2.45
42,2019-02-01,2.44
43,2019-01-01,2.42
44,2018-12-01,2.41
45,2018-11-01,2.37
46,2018-10-01,2.29
47,2018-09-01,2.17
48,2018-08-01,2.07
49,2018-07-01,1.99
50,2018-06-01,1.94
51,2018-05-01,1.9
52,2018-04-01,1.79
53,2018-03-01,1.73
54,2018-02-01,1.59
55,2018-01-01,1.43
56,2017-12-01,1.34
57,2017-11-01,1.25
58,2017-10-01,1.09
59,2017-09-01,1.05
60,2017-08-01,1.03
61,2017-07-01,1.09
62,2017-06-01,1.0
63,2017-05-01,0.9
64,2017-04-01,0.81
65,2017-03-01,0.75
66,2017-02-01,0.53
67,2017-01-01,0.52
68,2016-12-01,0.51
69,2016-11-01,0.45
70,2016-10-01,0.33
71,2016-09-01,0.29
72,2016-08-01,0.3
73,2016-07-01,0.3
74,2016-06-01,0.27
75,2016-05-01,0.28
76,2016-04-01,0.23
77,2016-03-01,0.3
78,2016-02-01,0.31
79,2016-01-01,0.26
80,2015-12-01,0.23
81,2015-11-01,0.13
82,2015-10-01,0.02
83,2015-09-01,0.02
84,2015-08-01,0.07
85,2015-07-01,0.03
86,2015-06-01,0.02
87,2015-05-01,0.02
88,2015-04-01,0.02
89,2015-03-01,0.03
90,2015-02-01,0.02
91,2015-01-01,0.03
92,2014-12-01,0.03
93,2014-11-01,0.02
94,2014-10-01,0.02
95,2014-09-01,0.02
96,2014-08-01,0.03
97,2014-07-01,0.03
98,2014-06-01,0.04
99,2014-05-01,0.03
100,2014-04-01,0.03
101,2014-03-01,0.05
102,2014-02-01,0.05
103,2014-01-01,0.04
104,2013-12-01,0.07
105,2013-11-01,0.07
106,2013-10-01,0.05
107,2013-09-01,0.02
108,2013-08-01,0.04
109,2013-07-01,0.04
110,2013-06-01,0.05
111,2013-05-01,0.04
112,2013-04-01,0.06
113,2013-03-01,0.09
114,2013-02-01,0.1
115,2013-01-01,0.07
116,2012-12-01,0.07
117,2012-11-01,0.09
118,2012-10-01,0.1
119,2012-09-01,0.11
120,2012-08-01,0.1
121,2012-07-01,0.1
122,2012-06-01,0.09
123,2012-05-01,0.09
124,2012-04-01,0.08
125,2012-03-01,0.08
126,2012-02-01,0.09
127,2012-01-01,0.03
128,2011-12-01,0.01
129,2011-11-01,0.01
130,2011-10-01,0.02
131,2011-09-01,0.01
132,2011-08-01,0.02
133,2011-07-01,0.04
134,2011-06-01,0.04
135,2011-05-01,0.04
136,2011-04-01,0.06
137,2011-03-01,0.1
138,2011-02-01,0.13
139,2011-01-01,0.15
140,2010-12-01,0.14
141,2010-11-01,0.14
142,2010-10-01,0.13
143,2010-09-01,0.15
144,2010-08-01,0.16
145,2010-07-01,0.16
146,2010-06-01,0.12
147,2010-05-01,0.16
148,2010-04-01,0.16
149,2010-03-01,0.15
150,2010-02-01,0.11
151,2010-01-01,0.06
152,2009-12-01,0.05
153,2009-11-01,0.05
154,2009-10-01,0.07
155,2009-09-01,0.12
156,2009-08-01,0.17
157,2009-07-01,0.18
158,2009-06-01,0.18
159,2009-05-01,0.18
160,2009-04-01,0.16
161,2009-03-01,0.22
162,2009-02-01,0.3
163,2009-01-01,0.13
164,2008-12-01,0.03
165,2008-11-01,0.19
166,2008-10-01,0.69
167,2008-09-01,1.15
168,2008-08-01,1.75
169,2008-07-01,1.66
170,2008-06-01,1.89
171,2008-05-01,1.76
172,2008-04-01,1.31
173,2008-03-01,1.28
174,2008-02-01,2.17
175,2008-01-01,2.82
176,2007-12-01,3.07
177,2007-11-01,3.35
178,2007-10-01,4.0
179,2007-09-01,3.99
180,2007-08-01,4.32
181,2007-07-01,4.96
182,2007-06-01,4.74
183,2007-05-01,4.87
184,2007-04-01,5.01
185,2007-03-01,5.08
186,2007-02-01,5.16
187,2007-01-01,5.11
188,2006-12-01,4.97
189,2006-11-01,5.07
190,2006-10-01,5.05
191,2006-09-01,4.93
192,2006-08-01,5.09
193,2006-07-01,5.08
194,2006-06-01,4.92
195,2006-05-01,4.84
196,2006-04-01,4.72
197,2006-03-01,4.63
198,2006-02-01,4.54
199,2006-01-01,4.34
200,2005-12-01,3.97
201,2005-11-01,3.97
202,2005-10-01,3.79
203,2005-09-01,3.49
204,2005-08-01,3.52
205,2005-07-01,3.29
206,2005-06-01,3.04
207,2005-05-01,2.9
208,2005-04-01,2.84
209,2005-03-01,2.8
210,2005-02-01,2.58
211,2005-01-01,2.37
212,2004-12-01,2.22
213,2004-11-01,2.11
214,2004-10-01,1.79
215,2004-09-01,1.68
216,2004-08-01,1.5
217,2004-07-01,1.36
218,2004-06-01,1.29
219,2004-05-01,1.04
220,2004-04-01,0.96
221,2004-03-01,0.95
222,2004-02-01,0.94
223,2004-01-01,0.9
224,2003-12-01,0.91
225,2003-11-01,0.95
226,2003-10-01,0.94
227,2003-09-01,0.96
228,2003-08-01,0.97
229,2003-07-01,0.92
230,2003-06-01,0.94
231,2003-05-01,1.09
232,2003-04-01,1.15
233,2003-03-01,1.15
234,2003-02-01,1.19
235,2003-01-01,1.19
236,2002-12-01,1.21
237,2002-11-01,1.25
238,2002-10-01,1.61
239,2002-09-01,1.66
240,2002-08-01,1.65
241,2002-07-01,1.71
242,2002-06-01,1.73
243,2002-05-01,1.76
244,2002-04-01,1.75
245,2002-03-01,1.83
246,2002-02-01,1.76
247,2002-01-01,1.68
248,2001-12-01,1.72
249,2001-11-01,1.91
250,2001-10-01,2.2
251,2001-09-01,2.69
252,2001-08-01,3.44
253,2001-07-01,3.59
254,2001-06-01,3.57
255,2001-05-01,3.7
256,2001-04-01,3.97
257,2001-03-01,4.54
258,2001-02-01,5.01
259,2001-01-01,5.29
260,2000-12-01,5.94
261,2000-11-01,6.36
262,2000-10-01,6.29
263,2000-09-01,6.18
264,2000-08-01,6.28
