,timestamp,value
0,2022-08-01,3.7
1,2022-07-01,3.5
2,2022-06-01,3.6
3,2022-05-01,3.6
4,2022-04-01,3.6
5,2022-03-01,3.6
6,2022-02-01,3.8
7,2022-01-01,4.0
8,2021-12-01,3.9
9,2021-11-01,4.2
10,2021-10-01,4.6
11,2021-09-01,4.7
12,2021-08-01,5.2
13,2021-07-01,5.4
14,2021-06-01,5.9
15,2021-05-01,5.8
16,2021-04-01,6.0
17,2021-03-01,6.0
18,2021-02-01,6.2
19,2021-01-01,6.4
20,2020-12-01,6.7
21,2020-11-01,6.7
22,2020-10-01,6.9
23,2020-09-01,7.9
24,2020-08-01,8.4
25,2020-07-01,10.2
26,2020-06-01,11.0
27,2020-05-01,13.2
28,2020-04-01,14.7
29,2020-03-01,4.4
30,2020-02-01,3.5
31,2020-01-01,3.5
32,2019-12-01,3.6
33,2019-11-01,3.6
34,2019-10-01,3.6
35,2019-09-01,3.5
36,2019-08-01,3.7
37,2019-07-01,3.7
38,2019-06-01,3.6
39,2019-05-01,3.6
40,2019-04-01,3.6
41,2019-03-01,3.8
42,2019-02-01,3.8
43,2019-01-01,4.0
44,2018-12-01,3.9
45,2018-11-01,3.8
46,2018-10-01,3.8
47,2018-09-01,3.7
48,2018-08-01,3.8
49,2018-07-01,3.8
50,2018-06-01,4.0
51,2018-05-01,3.8
52,2018-04-01,4.0
53,2018-03-01,4.0
54,2018-02-01,4.1
55,2018-01-01,4.0
56,2017-12-01,4.1
57,2017-11-01,4.2
58,2017-10-01,4.2
59,2017-09-01,4.3
60,2017-08-01,4.4
61,2017-07-01,4.3
62,2017-06-01,4.3
63,2017-05-01,4.4
64,2017-04-01,4.4
65,2017-03-01,4.4
66,2017-02-01,4.6
67,2017-01-01,4.7
68,2016-12-01,4.7
69,2016-11-01,4.7
70,2016-10-01,4.9
71,2016-09-01,5.0
72,2016-08-01,4.9
73,2016-07-01,4.8
74,2016-06-01,4.9
75,2016-05-01,4.8
76,2016-04-01,5.1
77,2016-03-01,5.0
78,2016-02-01,4.9
79,2016-01-01,4.8
80,2015-12-01,5.0
81,2015-11-01,5.1
82,2015-10-01,5.0
83,2015-09-01,5.0
84,2015-08-01,5.1
85,2015-07-01,5.2
86,2015-06-01,5.3
87,2015-05-01,5.6
88,2015-04-01,5.4
89,2015-03-01,5.4
90,2015-02-01,5.5
91,2015-01-01,5.7
92,2014-12-01,5.6
93,2014-11-01,5.8
94,2014-10-01,5.7
95,2014-09-01,5.9
96,2014-08-01,6.1
97,2014-07-01,6.2
98,2014-06-01,6.1
99,2014-05-01,6.3
100,2014-04-01,6.2
101,2014-03-01,6.7
102,2014-02-01,6.7
103,2014-01-01,6.6
104,2013-12-01,6.7
105,2013-11-01,6.9
106,2013-10-01,7.2
107,2013-09-01,7.2
108,2013-08-01,7.2
109,2013-07-01,7.3
110,2013-06-01,7.5
111,2013-05-01,7.5
112,2013-04-01,7.6
113,2013-03-01,7.5
114,2013-02-01,7.7
115,2013-01-01,8.0
116,2012-12-01,7.9
117,2012-11-01,7.7
118,2012-10-01,7.8
119,2012-09-01,7.8
120,2012-08-01,8.1
121,2012-07-01,8.2
122,2012-06-01,8.2
123,2012-05-01,8.2
124,2012-04-01,8.2
125,2012-03-01,8.2
126,2012-02-01,8.3
127,2012-01-01,8.3
128,2011-12-01,8.5
129,2011-11-01,8.6
130,2011-10-01,8.8
131,2011-09-01,9.0
132,2011-08-01,9.0
133,2011-07-01,9.0
